exp,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
S4_throughput_map1,map1,original,5,0.6,3,1500,14,199,15,245,0,245,23,46.39
S4_throughput_map1,map1,original,5,0.6,3,600,15,77,9,73,0,73,6,16.54
S4_throughput_map1,map1,original,5,0.0,0,600,15,82,12,101,0,101,4,17.61
S4_throughput_map1,map1,original,5,1.0,5,600,15,79,17,159,0,159,9,23.71
S4_throughput_map1,map1,original,5,1.0,5,1500,14,160,26,259,0,259,34,55.67
S4_throughput_map1,map1,original,5,0.0,0,1000,15,138,18,135,0,135,7,28.42
S4_throughput_map1,map1,original,5,0.0,0,2000,14,243,25,254,0,254,18,57.95
S4_throughput_map1,map1,original,5,0.6,3,2000,14,259,22,345,0,345,35,61.26
S4_throughput_map1,map1,original,5,1.0,5,1000,15,132,23,194,0,194,16,33.47
S4_throughput_map1,map1,original,5,1.0,5,300,16,35,6,44,0,44,5,8.52
S4_throughput_map1,map1,original,5,0.0,0,300,16,35,4,12,0,12,3,9.13
S4_throughput_map1,map1,original,5,0.6,3,300,16,35,6,44,0,44,4,11.02
S4_throughput_map1,map1,original,5,0.6,3,1000,15,130,14,147,0,147,14,52.53
S4_throughput_map1,map1,original,5,1.0,5,2000,14,226,34,334,0,334,43,72.24
S4_throughput_map1,map1,original,5,0.0,0,1500,15,205,22,198,0,198,8,49.49
S4_throughput_map1,map1,original,5,0.0,0,600,16,74,7,61,0,61,5,16.26
S4_throughput_map1,map1,original,5,0.6,3,600,16,72,10,67,0,67,6,16.78
S4_throughput_map1,map1,original,5,1.0,5,600,16,73,11,110,0,110,6,17.14
S4_throughput_map1,map1,original,5,1.0,5,1500,15,194,39,298,0,298,28,54.2
S4_throughput_map1,map1,original,5,0.0,0,1000,16,123,15,117,0,117,11,25.14
S4_throughput_map1,map1,original,5,0.0,0,2000,15,268,32,286,0,286,10,61.19
S4_throughput_map1,map1,original,5,0.6,3,1500,15,194,21,290,0,290,28,72.64
S4_throughput_map1,map1,original,5,0.0,0,300,17,31,7,105,0,105,7,9.03
S4_throughput_map1,map1,original,5,0.6,3,1000,16,123,20,158,0,158,11,27.73
S4_throughput_map1,map1,original,5,1.0,5,2000,15,255,52,395,0,395,37,68.69
S4_throughput_map1,map1,original,5,1.0,5,1000,16,127,19,139,0,139,15,34.55
S4_throughput_map1,map1,original,5,0.6,3,300,17,34,3,59,0,59,2,8.2
S4_throughput_map1,map1,original,5,1.0,5,300,17,37,6,87,0,87,1,11.35
S4_throughput_map1,map1,original,5,0.6,3,2000,15,262,33,341,0,341,38,82.26
S4_throughput_map1,map1,original,5,0.0,0,1500,16,183,24,214,0,214,15,41.28
S4_throughput_map1,map1,original,5,0.6,3,1500,16,190,31,231,0,231,15,42.63
S4_throughput_map1,map1,original,5,1.0,5,600,17,73,10,145,0,145,7,18.94
S4_throughput_map1,map1,original,5,0.6,3,600,17,72,11,122,0,122,3,18.93
S4_throughput_map1,map1,original,5,1.0,5,1500,16,190,29,203,0,203,23,50.48
S4_throughput_map1,map1,original,5,0.0,0,600,17,67,13,176,0,176,12,26.43
S4_throughput_map1,map1,original,5,0.0,0,2000,16,253,37,281,0,281,19,56.63
S4_throughput_map1,map1,original,5,0.6,3,1000,17,123,21,173,0,173,6,26.75
S4_throughput_map1,map1,original,5,0.6,3,2000,16,252,44,298,0,298,23,62.12
S4_throughput_map1,map1,original,5,0.0,0,300,18,41,2,33,0,33,1,6.86
S4_throughput_map1,map1,original,5,0.0,0,1000,17,116,20,269,0,269,18,34.07
S4_throughput_map1,map1,original,5,1.0,5,1000,17,124,24,235,0,235,15,30.27
S4_throughput_map1,map1,original,5,0.6,3,300,18,40,2,60,0,60,1,7.49
S4_throughput_map1,map1,original,5,1.0,5,2000,16,252,45,328,0,328,32,65.19
S4_throughput_map1,map1,original,5,1.0,5,300,18,44,3,60,0,60,2,8.1
S4_throughput_map1,map1,original,5,0.6,3,1500,17,186,29,223,0,223,13,48.1
S4_throughput_map1,map1,original,5,0.6,3,600,18,83,4,94,0,94,4,23.03
S4_throughput_map1,map1,original,5,0.0,0,600,18,80,7,99,0,99,3,25.09
S4_throughput_map1,map1,original,5,0.0,0,1500,17,184,31,367,0,367,21,60.78
S4_throughput_map1,map1,original,5,1.0,5,1500,17,181,38,378,0,378,29,63.03
S4_throughput_map1,map1,original,5,1.0,5,600,18,83,12,112,0,112,6,37.89
S4_throughput_map1,map1,original,5,1.0,5,1000,18,126,19,156,0,156,14,45.02
S4_throughput_map1,map1,original,5,0.0,0,1000,18,125,11,213,0,213,6,54.53
S4_throughput_map1,map1,original,5,0.6,3,2000,17,249,36,269,0,269,20,78.41
S4_throughput_map1,map1,original,5,0.6,3,1000,18,133,14,188,0,188,7,62.71
S4_throughput_map1,map1,original,5,0.0,0,300,19,34,5,61,0,61,2,12.13
S4_throughput_map1,map1,original,5,0.0,0,2000,17,247,42,463,0,463,25,92.45
S4_throughput_map1,map1,original,5,0.6,3,300,19,37,7,89,0,89,3,18.69
S4_throughput_map1,map1,original,5,1.0,5,300,19,36,6,63,0,63,5,15.52
S4_throughput_map1,map1,original,5,1.0,5,2000,17,240,46,423,0,423,40,106.52
S4_throughput_map1,map1,original,5,0.0,0,1500,18,189,18,293,0,293,12,80.09
S4_throughput_map1,map1,original,5,0.6,3,1500,18,185,22,299,0,299,15,73.93
S4_throughput_map1,map1,original,5,0.0,0,600,19,70,9,109,0,109,8,26.85
S4_throughput_map1,map1,original,5,0.6,3,600,19,78,11,113,0,113,6,33.45
S4_throughput_map1,map1,original,5,1.0,5,1500,18,187,39,282,0,282,18,76.28
S4_throughput_map1,map1,original,5,1.0,5,600,19,71,13,136,0,136,11,36.81
S4_throughput_map1,map1,original,5,0.0,0,1000,19,119,13,149,0,149,11,50.38
S4_throughput_map1,map1,original,5,0.6,3,1000,19,123,19,179,0,179,15,50.61
S4_throughput_map1,map1,original,5,0.6,3,2000,18,234,35,404,0,404,23,110.48
S4_throughput_map1,map1,original,5,0.0,0,300,20,36,6,59,0,59,4,16.53
S4_throughput_map1,map1,original,5,1.0,5,1000,19,118,23,229,0,229,13,62.18
S4_throughput_map1,map1,original,5,0.0,0,2000,18,252,27,374,0,374,20,113.82
S4_throughput_map1,map1,original,5,0.6,3,300,20,36,7,68,0,68,1,17.35
S4_throughput_map1,map1,original,5,0.0,0,1500,19,183,19,218,0,218,13,74.15
S4_throughput_map1,map1,original,5,1.0,5,2000,18,247,47,373,0,373,27,119.9
S4_throughput_map1,map1,original,5,0.6,3,1500,19,199,26,252,0,252,25,71.02
S4_throughput_map1,map1,original,5,0.0,0,600,20,71,15,178,0,178,4,37.21
S4_throughput_map1,map1,original,5,0.6,3,600,20,74,13,108,0,108,7,32.36
S4_throughput_map1,map1,original,5,1.0,5,1500,19,176,30,301,0,301,22,85.54
S4_throughput_map1,map1,original,5,0.0,0,2000,19,248,33,365,0,365,19,92.51
S4_throughput_map1,map1,original,5,1.0,5,300,20,31,2,52,0,52,11,46.56
S4_throughput_map1,map1,original,5,1.0,5,600,20,66,12,120,0,120,19,46.69
S4_throughput_map1,map1,original,5,0.6,3,2000,19,258,32,336,0,336,28,104.4
S4_throughput_map1,map1,original,5,0.6,3,1000,20,125,21,191,0,191,12,54.15
S4_throughput_map1,map1,original,5,0.6,3,300,21,37,4,47,0,47,4,9.44
S4_throughput_map1,map1,original,5,0.0,0,1000,20,119,18,224,0,224,7,56.44
S4_throughput_map1,map1,original,5,0.0,0,300,21,39,2,41,0,41,3,14.38
S4_throughput_map1,map1,original,5,1.0,5,300,21,37,4,46,0,46,4,16.05
S4_throughput_map1,map1,original,5,1.0,5,2000,19,239,45,411,0,411,34,120.07
S4_throughput_map1,map1,original,5,1.0,5,1000,20,116,21,220,0,220,29,88.43
S4_throughput_map1,map1,original,5,0.0,0,1500,20,179,24,283,0,283,14,81.73
S4_throughput_map1,map1,original,5,0.0,0,600,21,77,10,107,0,107,5,26.65
S4_throughput_map1,map1,original,5,1.0,5,600,21,74,10,75,0,75,15,31.41
S4_throughput_map1,map1,original,5,0.6,3,600,21,76,9,92,0,92,9,32.06
