exp,method,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,2,121,7,16,0,16,3,47.27
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,2,106,4,31,0,31,0,56.03
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,2,90,16,37,0,37,16,53.38
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,1,433,48,1625,0,1625,27,382.61
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,1,413,93,2420,1043,1377,64,419.35
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,2,335,0,18,0,18,357,5.65
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,2,192,22,197,0,197,16,95.47
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,2,196,36,192,0,192,34,95.83
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,2,288,277,270,0,270,698,37.01
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,2,209,32,208,0,208,349,50.51
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,2,219,25,301,0,301,14,126.77
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,2,26,101,982,949,33,32,201.44
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,1,96,365,3341,2904,437,104,642.57
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,2,194,27,637,496,141,7,131.54
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,1,347,78,1374,0,1374,61,601.32
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,2,523,0,27,0,27,556,6.03
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,2,182,5,240,0,240,1,122.6
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,0,151,659,6139,4908,1231,182,931.86
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,2,319,49,488,0,488,584,65.42
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,2,441,498,474,0,474,1177,50.18
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,2,264,63,460,0,460,70,123.63
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,2,170,26,265,0,265,32,158.17
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,2,274,59,568,0,568,22,159.14
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,2,338,52,454,0,454,6,156.16
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,2,283,12,397,0,397,5,154.96
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,2,695,1,46,0,46,750,8.38
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,2,272,39,1160,599,561,29,196.16
