x,y
9.619624504,19.95684975
8.962626917,20.45698745
8.158554843,20.805914
7.392148159,20.78764344
6.512337586,20.83848691
5.683785005,20.68064393
4.896536733,20.67436841
4.524084499,19.85719521
4.152261402,19.06620575
3.989184771,18.17679565
3.486877632,17.42268164
3.360656342,16.45263914
3.323517523,15.5437901
3.433608069,14.60110584
3.807170066,13.75353053
4.062240526,12.84796981
4.303373231,11.92784671
4.600982295,11.04053179
4.731369725,10.14435745
5.19823027,9.26888773
1.0,1.0
31.0,25.0
32.52592067,24.19352961
32.92207531,23.35749849
32.70037977,22.52401399
32.90836444,21.72631783
32.88512368,20.79093753
32.8117802,19.91887745
32.0747152,19.30263699
31.39548154,18.61776319
30.81933955,17.88199656
30.10384759,17.3076751
29.29276603,16.86971314
28.56378416,16.38919454
27.88993416,15.86749174
26.99013791,15.58270393
26.09015305,15.34353351
25.18756046,15.09749989
24.22406517,15.0660986
23.31443721,15.14784483
22.39089447,15.06403194
21.52133385,15.12283378
20.68530566,15.17045287
19.82197077,15.2584198
18.94376936,15.25552722
18.34117905,15.94903394
17.66433022,16.51859989
16.90720978,17.04195666
15.98408877,17.09646958
15.13508802,16.88764131
14.27149595,16.8381777
13.49758289,16.5076839
12.78184912,15.8602548
13.0,17.0
12.44534996,17.73404012
11.49570429,17.83182499
10.53539198,17.80500419
9.630997194,17.66417555
8.740273714,17.58224174
7.931108324,17.41788077
